Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Voelker, Geoffrey M.",ENG 100L - Team Engineering Lab (A),FA12,11,3,100.0%,100.0%,1.5,B (3.00),
"Bratton, Maryann",ENG 100A - Team Engineering (A),SP12,41,14,71.4%,85.7%,5.5,B+ (3.50),B+ (3.68)
"Bratton, Maryann",ENG 100A - Team Engineering (B),SP12,35,14,84.6%,100.0%,8.04,B+ (3.64),B+ (3.68)
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),SP12,12,5,100.0%,100.0%,3.3,A (4.00),
"Sides, Stephanie",ENG 100B - Engineering Leadership (B),SP12,5,5,100.0%,100.0%,6.5,A- (3.80),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),SP12,14,4,75.0%,100.0%,2.5,A (4.00),
"Llewellyn Smith, Stefan G.",ENG 100L - Team Engineering Lab (02),SP12,8,3,100.0%,100.0%,7.83,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (03),SP12,18,3,100.0%,100.0%,5.17,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Lab (04),SP12,12,3,100.0%,100.0%,5.83,A (4.00),
"Cole, Michael",ENG 100L - Team Engineering Lab (05),SP12,13,6,83.3%,100.0%,3.5,B+ (3.67),
"Guest, Clark C",ENG 100L - Team Engineering Lab (06),SP12,16,6,100.0%,100.0%,6.17,A (4.00),
"Voelker, Geoffrey M.",ENG 100L - Team Engineering Lab (07),SP12,11,3,100.0%,100.0%,5.17,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (08),SP12,6,6,100.0%,100.0%,5.5,A (4.00),
"Cruz, Edwin Teddy",ENG 100L - Team Engineering Lab (09),SP12,8,4,50.0%,100.0%,3.0,A (4.00),
"Griswold, William G.",ENG 100L - Team Engineering Lab (10),SP12,13,4,100.0%,100.0%,7.5,A (4.00),
"Coimbra, Carlos F.",ENG 100L - Team Engineering Lab (11),SP12,6,4,100.0%,100.0%,9.5,B+ (3.50),
"Smith, David M.",ENG 100L - Team Engineering Lab (12),SP12,6,4,100.0%,100.0%,2.5,A (4.00),
"Hayden, Marina Calvet",ENG 3 - Orientation to Engineering III (A),SP12,37,22,90.9%,90.9%,1.41,A (4.00),
"Tu, Charles",ENG 100A - Team Engineering (A),WI12,52,33,60.6%,33.3%,5.89,A- (3.84),B+ (3.65)
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),WI12,11,5,100.0%,100.0%,2.0,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),WI12,9,6,100.0%,100.0%,5.17,A (4.00),
"Llewellyn Smith, Stefan G.",ENG 100L - Team Engineering Lab (02),WI12,12,7,100.0%,71.4%,6.17,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (03),WI12,17,4,100.0%,75.0%,3.0,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Lab (04),WI12,15,5,80.0%,100.0%,4.9,A- (3.75),
"Guest, Clark C",ENG 100L - Team Engineering Lab (06),WI12,17,9,100.0%,100.0%,5.61,A (4.00),
"Voelker, Geoffrey M.",ENG 100L - Team Engineering Lab (07),WI12,10,4,100.0%,100.0%,3.0,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (08),WI12,13,13,100.0%,100.0%,4.5,A- (3.92),
"Griswold, William G.",ENG 100L - Team Engineering Lab (10),WI12,7,3,100.0%,66.7%,11.17,B+ (3.67),
"Hayden, Marina Calvet",ENG 2 - Orientation to Engineering II (A),WI12,108,63,93.5%,98.4%,1.24,A (4.00),
"Hayden, Marina Calvet",ENG 1 - Orientation to Engineering I (A),FA11,95,47,66.7%,84.4%,1.46,A- (3.88),
"Hayden, Marina Calvet",ENG 1 - Orientation to Engineering I (B),FA11,113,66,62.1%,92.3%,0.81,A- (3.83),
"Bratton, Maryann",ENG 100A - Team Engineering (A),FA11,70,30,60.0%,70.0%,6.7,A- (3.74),B+ (3.59)
"Eremenko, Svetlana",ENG 100B - Engineering Leadership (A),FA11,7,4,100.0%,100.0%,2.5,A- (3.75),
"Kleissl, Jan",ENG 100L - Team Engineering Lab (01),FA11,6,3,100.0%,100.0%,6.5,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Lab (04),FA11,11,4,75.0%,75.0%,6.5,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Lab (06),FA11,11,6,100.0%,100.0%,4.83,A (4.00),
"Llewellyn Smith, Stefan G.",ENG 100L - Team Engineering Lab (07),FA11,12,5,100.0%,100.0%,6.0,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (09),FA11,17,5,80.0%,80.0%,5.3,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (10),FA11,12,6,100.0%,100.0%,3.83,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Lab (13),FA11,9,3,100.0%,100.0%,2.5,A (4.00),
"Tu, Charles",ENG 100A - Team Engineering (A),SP11,46,24,78.3%,43.5%,5.92,B+ (3.67),B+ (3.44)
